,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
195,10,Rimskaya,Римская,"55.7463,37.6819",20,37,2,38,12,34,80,31,70,18
196,10,Krestyanskaya Zastava,Крестьянская застава,"55.7331,37.6673",29,38,0,60,28,59,147,51,116,35
197,10,Dubrovka,Дубровка,"55.7186,37.6760",25,9,0,54,14,25,91,23,83,14
198,10,Kozhukhovskaya,Кожуховская,"55.7074,37.6851",3,20,0,47,6,19,78,10,55,11
199,10,Pechatniki,Печатники,"55.6934,37.7270",3,5,0,16,8,8,42,17,41,7
200,10,Volzhskaya,Волжская,"55.6909,37.7530",1,9,0,9,4,14,39,12,22,7
201,10,Lyublino,Люблино,"55.6758,37.7618",4,7,0,19,7,20,64,18,65,12
202,10,Bratislavskaya,Братиславская,"55.6597,37.7505",9,14,0,55,8,34,85,32,97,10
203,10,Maryino,Марьино,"55.6500,37.7431",5,5,0,43,10,27,68,32,82,10
204,10,Borisovo,Борисово,"55.6334,37.7436",14,11,0,7,4,18,32,24,23,6
205,10,Shipilovskaya,Шипиловская,"55.6211,37.7437",5,5,0,19,4,15,44,37,54,11
206,10,Zyablikovo,Зябликово,"55.6124,37.7453",4,7,0,26,5,21,48,36,72,11
207,11,Delovoy Tsentr,Деловой центр,"55.7475,37.5319",20,32,0,70,15,35,149,18,133,36
208,11,Shelepikha,Шелепиха,"55.7567,37.5260",4,25,0,14,5,8,63,18,48,15
209,11,Khoroshyovskaya,Хорошёвская,"55.7768,37.5207",7,13,0,38,6,16,77,28,81,19
210,11,CSKA,ЦСКА,"55.7866,37.5333",10,9,0,67,10,37,83,26,112,6
211,11,Petrovsky Park,Петровский парк,"55.7918,37.5571",12,19,0,59,13,32,89,30,70,18
212,11,Savyolovskaya,Савёловская,"55.7936,37.5880",42,28,1,72,21,51,168,28,108,24
213,11A,Kashirskaya,Каширская,"55.6551,37.6487",4,16,0,27,7,9,56,4,33,7
214,11A,Varshavskaya,Варшавская,"55.6533,37.6194",6,14,0,26,5,19,63,28,72,16
215,11A,Kakhovskaya,Каховская,"55.6530,37.5983",4,12,0,35,8,33,69,21,73,16
216,12,Bittsevsky Park,Битцевский парк,"55.6004,37.5562",3,7,0,3,3,7,18,10,18,5
217,12,Lesoparkovaya,Лесопарковая,"55.5821,37.5769",3,4,0,8,10,3,18,8,23,5
218,12,Ulitsa Starokachalovskaya,Улица Старокачаловская,"55.5690,37.5767",6,9,0,25,7,31,62,32,74,12
219,12,Ulitsa Skobelevskaya,Улица Скобелевская,"55.5481,37.5546",5,9,0,24,6,23,50,25,70,10
220,12,Bulvar Admirala Ushakova,Бульвар Адмирала Ушакова,"55.5455,37.5430",5,8,0,29,8,27,45,34,72,12
221,12,Ulitsa Gorchakova,Улица Горчакова,"55.5418,37.5308",2,6,0,17,6,24,45,27,50,7
222,12,Buninskaya Alleya,Бунинская аллея,"55.5380,37.5158",4,6,0,9,4,15,45,12,57,11
